"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","comment","photo"
"EDCS-10101058","ILJug-03, 02095","Dalmatia","Solin / Salona","Salona","","","milites;  mulieres;  tituli operum;  tituli sepulcrales;  tria nomina;  viri","L(ucio) Barbio +[3] / vet(erano) leg(ionis) XI C(laudiae) P(iae) F(idelis) / et Quintiae matri / Barbia Paulla pos(u)it / et Silvinae car[i]ssima//e / quod ego sperara<m=N> / Paula mi(hi) Silvinam fac/tura ego feci Silvina//e / delicatae ann(norum) XVIII / quae est sepulta hic te / rogo qui legis (h)unc / titulum dicas Silvi/na puella sit tibi terra // levis","Lucio Barbio veterano legionis XI Claudiae Piae Fidelis et Quintiae matri Barbia Paulla posuit et Silvinae carissimae quod ego speraram Paula mihi Silvinam factura ego feci Silvinae delicatae annnorum XVIII quae est sepulta hic te rogo qui legis hunc titulum dicas Silvina puella sit tibi terra levis","43.5441591","16.4919213",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_ILJug-03_02095_1.jpg;$PF_ILJug-03_02095.jpg;$PF_ILJug-03_02095_1.jpg"
"EDCS-10101316","ILJug-03, 02568,3159","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","] mil(es?) leg(ionis) X[I","miles legionis XI","43.5441591","16.4919213",NA,NA
"EDCS-10101404","ILJug-03, 02568,3790","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","] coh(ortis) [VIII(?)] vol(untariorum) [","cohortis VIII voluntariorum","43.5441591","16.4919213",NA,NA
"EDCS-10101405","ILJug-03, 02568,3799","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","] mil(es) coh(ortis) [","miles cohortis","43.5441591","16.4919213",NA,NA
"EDCS-10101463","ILJug-03, 02568,4208","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","coh(ortis)] Alp(inorum) [","cohortis Alpinorum","43.5441591","16.4919213",NA,NA
"EDCS-10101517","ILJug-03, 02568,4688","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","c]oh(ortis) III A[lpinorum","cohortis III Alpinorum","43.5441591","16.4919213",NA,NA
"EDCS-10101571","ILJug-03, 02569aa","Dalmatia","Solin / Salona","Salona","","","mulieres;  tituli sepulcrales","[T]halassia","Thalassia","43.5441591","16.4919213",NA,NA
"EDCS-57300150","Kurilic 00076","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  tria nomina;  viri","C(aius) Iulius Maro veteranus vixit annos LXXXX","Caius Iulius Maro veteranus vixit annos LXXXX","43.5441591","16.4919213",NA,NA
"EDCS-55300316","Legio-VII 00086","Dalmatia","Solin / Salona","Salona","","","milites;  tituli sepulcrales;  viri","]SF[3] / [3 leg(ionis) 3] C(laudiae) P(iae) [F(idelis) 3] / [3]XIIX[3] / [3]CFT[","SF legionis Claudiae Piae Fidelis XIIX CFT","43.5441591","16.4919213",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00086.jpg"
"EDCS-74200209","Lupa 24649","Dalmatia","Split / Spalatum","Spalatum","","","milites;  nomen singulare;  tituli sepulcrales;  viri","Teraio Gai mil(iti) coh(ortis) / III Alp(inorum) Maximus / Victoris [3] / h(eres) b(ene) m(erenti) p(osuit)","Teraio Gai militi cohortis III Alpinorum Maximus Victoris heres bene merenti posuit","43.5116383","16.4399659",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-74200214","Lupa 24662","Dalmatia","Split / Spalatum","Spalatum","","","milites;  tituli sepulcrales;  tria nomina;  viri","Ti(berius) Cl(audius) Firmus / her(es) s(umptibus?) s(uis?) / v(ixit) a(nnos) LV // Firma[3] / C(aio) Cassio Na[3] / veterano pr[3] / amico opt[imo 3] / v(ixit) a(nnos) [3]","Tiberius Claudius Firmus heres sumptibus suis vixit annos LV Firma Caio Cassio Na veterano pr amico optimo vixit annos","43.5116383","16.4399659",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_Lupa_24662.jpg;$Lupa_24662_2.jpg;pp"
"EDCS-32700977","CIL 03, 15110d","Dalmatia","Tepljuh / Promona","Promona","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(io) III]I F(lavia) F(elix)","Legio IIII Flavia Felix","43.8933717","16.2085222",NA,NA
"EDCS-32700978","CIL 03, 15110e","Dalmatia","Tepljuh / Promona","Promona","","","milites;  sigilla impressa;  tituli fabricationis","[Le]g(io) II[II F(lavia) F(elix)]","Legio IIII Flavia Felix","43.8933717","16.2085222",NA,NA
"EDCS-29900063","AE 1893, 00009","Dalmatia","Tomislavgrad / Duvno / Zupanjac / Delminium","Delminium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) VIII Aug(usta)","Legio VIII Augusta","43.7165551","17.2303272",NA,NA
"EDCS-31400409","CIL 03, 13339,3","Dalmatia","Velika Kladusa","Velika Kladusa","","","milites;  sigilla impressa;  tituli fabricationis","L(egio) XIIII G(emina)","Legio XIIII Gemina","45.1854105","15.8070634",NA,NA
"EDCS-63400052","Liburnia 00122","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sacri;  tria nomina;  viri","[S(ilvano?)] A(ugusto) s(acrum) / [S]eptimius / Andes / veteranus / v(otum) s(olvit) l(ibens) m(erito)","Silvano Augusto sacrum Septimius Andes veteranus votum solvit libens merito","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400024","Lupa 22895","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sepulcrales;  viri","] / Rufus Nico[3] / mil(es) leg(ionis) [3] / ann(orum) XLI[3 stip(endiorum)] / XV[3] / h() [","Rufus Nico miles legionis annorum XLI stipendiorum XV h","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400025","Lupa 22900","Dalmatia","Zadar / Iader","Iader","","","milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","] / co(n)s(ularis) ann(orum) XXXX / stip(endiorum) XXI / Horatius / Nepos f(ilius) arb(itratu) / Baebi signif(eri) / f(ieri) i(ussit)","consularis annorum XXXX stipendiorum XXI Horatius Nepos filius arbitratu Baebi signiferi fieri iussit","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400040","Lupa 22970","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sepulcrales;  viri","[3]us / [3]uri f(ilius) equ[es 3] / [3] Batav(u)s [","us uri filius eques Batavus","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400059","Lupa 23028","Dalmatia","Zadar / Iader","Iader","","","milites;  nomen singulare;  tituli operum","|(Centuria) Clodi / op(eris) p(edes) X","Centuria Clodi operis pedes X","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400081","Lupa 23077","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli operum;  viri","Coh(ortis) [1]II / |(centuria) [3]ipri / o(peris) p(edes) / CXXVII","Cohortis II centuria ipri operis pedes CXXVII","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400085","Lupa 23083","Dalmatia","Zadar / Iader","Iader","","","milites;  nomen singulare;  tituli operum;  viri","Coh(ortis) IIII / |(centuria) Tucciani","Cohortis IIII centuria Tucciani","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400090","Lupa 23088","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sepulcrales;  viri","]enius [3] / [3] coh(ortis) I[3] / [3 m]irari[3] / [3 ex volunta]te ipsius [3] / [faciendum c]ura[vit]","enius cohortis I mirari ex voluntate ipsius faciendum curavit","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400116","Lupa 23129","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sepulcrales;  viri","mi]l(es) leg(ionis) XI C(laudiae) [P(iae) F(idelis) 3] / [3]entoni pr[3] / [3 an(norum) 3]VII stip(endiorum) XXIII[3] / [t(estamento)] f(ieri) i(ussit)","miles legionis XI Claudiae Piae Fidelis entoni pr annorum VII stipendiorum XXIII testamento fieri iussit","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400218","Lupa 23237","Dalmatia","Zadar / Iader","Iader","","","milites;  tituli sepulcrales;  viri","] / mil(es) leg(ionis) II[3] / stip(endiorum) XXXI h(eres) f(ieri) i(ussit) / t(estamento?)","miles legionis II stipendiorum XXXI heres fieri iussit testamento","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400224","Lupa 23279","Dalmatia","Zadar / Iader","Iader","","","milites;  mulieres;  ordo decurionum;  tituli honorarii;  tituli operum;  tria nomina;  viri","C(aio) Veianio C(ai) f(ilio) / Orestino / mil(iti) coh(ortis) III praet(oriae) / a commentariis / Aug(usti) / ornamentis / decurionalib(us) honorato / et loco statuae / ponendae publ(ice) dato / C(aius) Veianus Graptus / pater et / Vecilia Homoea / mater posuer(unt)","Caio Veianio Cai filio Orestino militi cohortis III praetoriae a commentariis Augusti ornamentis decurionalibus honorato et loco statuae ponendae publice dato Caius Veianus Graptus pater et Vecilia Homoea mater posuerunt","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_Lupa_23279_1.jpg;$M_Lupa_23279_2.jpg;$M_Lupa_23279_3.jpg;pp"
"EDCS-63400227","Lupa 23284","Dalmatia","Zadar / Iader","Iader","","","milites;  nomen singulare;  ordo decurionum;  ordo equester;  tituli honorarii;  tria nomina;  viri","M(arco) Magio [3] f(ilio) / Pom(ptina) Opsequenti(!) / |(centurioni) leg(ionis) XI C(laudiae) P(iae) F(idelis) praef(ecto) / coh(ortis) prim(ae) Hispan(orum) / huic ordo Iadestin(us) / ornamenta IIvir(alia) et quinquennal(icia) / decrevit / Eutychus i(ussit) fieri // L[3] / M[3] / huic","Marco Magio filio Pomptina Opsequenti centurioni legionis XI Claudiae Piae Fidelis praefecto cohortis primae Hispanorum huic ordo Iadestinus ornamenta II viralia et quinquennalicia decrevit Eutychus iussit fieri L M huic","44.1186078","15.232136",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_Lupa_23284_1.jpg;$M_Lupa_23284_2.jpg;$M_Lupa_23284_3.jpg;pp"
